"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","dell01",,,,"User:","daniel"
"Cmdline:","dstat --output str_4W_0SCR_withModelBuilder.log",,,,"Date:","13 Jun 2015 04:43:54 PDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
7.838,1.643,81.702,8.493,0.005,0.318,685366.802,573869.308,0.0,0.0,46572.223,82451.706,880.142,1189.138
47.716,7.107,40.102,4.569,0.0,0.508,40960.0,0.0,0.0,0.0,0.0,0.0,797.0,1331.0
16.410,2.051,6.154,74.872,0.0,0.513,4321280.0,0.0,64.0,0.0,4153344.0,0.0,889.0,1446.0
3.553,1.015,3.046,92.386,0.0,0.0,1327104.0,98304.0,3179.0,710.0,1011712.0,0.0,691.0,1067.0
23.980,1.531,17.347,57.143,0.0,0.0,2273280.0,0.0,484.0,532.0,2199552.0,0.0,791.0,1253.0
52.020,4.545,5.051,37.374,0.0,1.010,5595136.0,0.0,64.0,0.0,5505024.0,0.0,937.0,1590.0
65.990,4.061,19.289,10.660,0.0,0.0,405504.0,0.0,2460.0,1595.0,0.0,0.0,996.0,1479.0
40.513,5.128,41.026,11.795,0.513,1.026,1150976.0,0.0,0.0,0.0,0.0,0.0,1077.0,1470.0
37.949,5.641,37.949,17.949,0.0,0.513,1560576.0,0.0,128.0,414.0,0.0,0.0,1368.0,1912.0
67.0,7.0,12.0,13.500,0.0,0.500,1290240.0,77824.0,2556.0,2694.0,0.0,49152.0,1617.0,2240.0
54.822,3.553,12.690,23.858,0.0,5.076,4005888.0,274432.0,536.0,1582.0,0.0,0.0,2855.0,3246.0
11.111,10.0,43.889,33.333,0.0,1.667,8531968.0,16384.0,0.0,0.0,0.0,16384.0,3200.0,5064.0
1.676,6.145,48.045,43.575,0.0,0.559,7118848.0,13492224.0,2108.0,436.0,0.0,36864.0,3469.0,4081.0
0.562,3.933,48.315,47.191,0.0,0.0,6275072.0,16924672.0,0.0,0.0,0.0,0.0,3171.0,3674.0
2.762,12.155,37.569,46.409,0.0,1.105,2908160.0,25128960.0,0.0,0.0,0.0,36864.0,2075.0,2572.0
0.529,1.587,13.228,83.598,0.0,1.058,118784.0,18243584.0,2172.0,782.0,12288.0,1073152.0,1002.0,1163.0
2.051,1.026,50.256,46.667,0.0,0.0,40960.0,17313792.0,0.0,0.0,0.0,0.0,1015.0,1089.0
9.231,1.538,45.128,44.103,0.0,0.0,843776.0,11403264.0,0.0,0.0,0.0,0.0,1144.0,1444.0
62.121,5.556,15.152,17.172,0.0,0.0,1548288.0,0.0,3243.0,864.0,0.0,0.0,1481.0,2207.0
31.0,7.0,42.500,19.500,0.0,0.0,1851392.0,61440.0,8499.0,13473.0,0.0,0.0,1331.0,1828.0
45.641,2.564,29.744,22.051,0.0,0.0,1212416.0,0.0,0.0,0.0,0.0,0.0,1164.0,1678.0
20.707,2.525,29.798,46.465,0.0,0.505,1335296.0,11321344.0,2236.0,888.0,0.0,0.0,1250.0,1513.0
6.701,1.031,38.144,53.093,0.0,1.031,516096.0,20926464.0,64.0,0.0,0.0,0.0,1088.0,1336.0
36.224,6.122,30.102,27.041,0.0,0.510,2396160.0,0.0,640.0,5448.0,0.0,0.0,1519.0,2117.0
21.026,3.077,70.769,4.615,0.0,0.513,552960.0,0.0,2940.0,5048.0,0.0,0.0,1186.0,1779.0
0.518,0.0,97.409,2.073,0.0,0.0,0.0,208896.0,64.0,0.0,0.0,0.0,730.0,1120.0
8.718,2.051,87.179,2.051,0.0,0.0,24576.0,0.0,0.0,0.0,0.0,0.0,925.0,1359.0
1.020,0.510,98.469,0.0,0.0,0.0,0.0,0.0,2428.0,2136.0,0.0,0.0,706.0,1068.0
2.551,1.020,95.918,0.0,0.0,0.510,0.0,0.0,0.0,0.0,0.0,0.0,738.0,1162.0
0.515,0.0,97.938,1.546,0.0,0.0,16384.0,0.0,0.0,0.0,16384.0,0.0,696.0,1038.0
3.061,1.020,95.918,0.0,0.0,0.0,0.0,0.0,2108.0,436.0,0.0,0.0,735.0,1137.0
3.077,2.051,91.795,3.077,0.0,0.0,12288.0,53248.0,0.0,64.0,0.0,0.0,873.0,1387.0
13.265,3.571,83.163,0.0,0.0,0.0,0.0,8192.0,1952.0,4120.0,0.0,8192.0,832.0,1367.0
12.105,1.579,82.632,3.684,0.0,0.0,69632.0,0.0,8721.0,9012.0,0.0,0.0,1353.0,2154.0
3.608,1.031,95.361,0.0,0.0,0.0,0.0,0.0,2012.0,2064.0,0.0,0.0,842.0,1338.0
13.846,1.026,83.077,1.538,0.0,0.513,98304.0,0.0,9278.0,43135.0,0.0,0.0,1058.0,1751.0
18.947,3.684,67.895,9.474,0.0,0.0,1785856.0,0.0,98308.0,3274546.0,659456.0,0.0,4006.0,2474.0
3.333,2.222,92.222,1.667,0.0,0.556,0.0,57344.0,136796.0,12337692.0,0.0,0.0,5964.0,1433.0
5.435,3.261,89.674,0.0,0.0,1.630,0.0,0.0,164570.0,12336786.0,0.0,0.0,6138.0,1560.0
2.825,1.695,94.915,0.0,0.0,0.565,0.0,0.0,164344.0,12335984.0,0.0,0.0,6153.0,1456.0
3.371,2.247,93.258,0.0,0.0,1.124,0.0,0.0,166110.0,12336786.0,0.0,0.0,6241.0,1480.0
7.027,1.622,89.730,0.0,0.0,1.622,0.0,0.0,142310.0,12337054.0,0.0,0.0,5060.0,1627.0
4.444,1.667,90.556,1.667,0.0,1.667,0.0,53248.0,193864.0,12337021.0,0.0,0.0,6544.0,1589.0
3.315,1.657,92.818,1.105,0.0,1.105,16384.0,0.0,173594.0,12336786.0,16384.0,0.0,6478.0,1488.0
5.348,3.209,90.909,0.0,0.0,0.535,0.0,0.0,164278.0,12337105.0,0.0,0.0,6324.0,1555.0
3.333,2.222,93.333,0.0,0.0,1.111,0.0,0.0,163598.0,12337222.0,0.0,0.0,6229.0,1466.0
