"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","dell01",,,,"User:","daniel"
"Cmdline:","dstat --output 1W128B1R.log",,,,"Date:","12 Jun 2015 16:10:55 PDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
6.123,1.397,91.091,1.061,0.004,0.324,552105.316,197975.771,0.0,0.0,5456.790,16125.314,843.787,1089.848
50.0,10.101,38.889,0.0,0.0,1.010,0.0,32768.0,3985.0,5734.0,0.0,0.0,988.0,1515.0
57.576,10.101,32.323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,923.0,1314.0
75.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,815.0,906.0,0.0,0.0,1032.0,1302.0
66.667,7.576,25.253,0.0,0.0,0.505,0.0,86016.0,192.0,888.0,0.0,0.0,995.0,1412.0
68.687,10.606,20.202,0.0,0.0,0.505,0.0,0.0,320.0,1610.0,0.0,0.0,1264.0,1750.0
80.905,7.035,11.055,0.0,0.0,1.005,0.0,0.0,1127.0,2323.0,0.0,0.0,1331.0,2103.0
79.0,5.500,8.0,7.0,0.0,0.500,323584.0,0.0,128.0,654.0,0.0,0.0,1352.0,2033.0
47.475,4.545,38.889,8.586,0.0,0.505,1630208.0,0.0,2325.0,4375.0,0.0,0.0,1410.0,1651.0
37.563,4.061,32.995,24.873,0.0,0.508,2289664.0,139264.0,655.0,667.0,0.0,0.0,1474.0,1855.0
36.224,6.633,33.163,22.959,0.0,1.020,1302528.0,913408.0,128.0,622.0,0.0,909312.0,1723.0,1595.0
36.410,4.103,34.359,25.128,0.0,0.0,3403776.0,0.0,320.0,1450.0,0.0,0.0,1282.0,1521.0
48.223,11.168,30.964,9.137,0.0,0.508,1921024.0,0.0,527.0,109.0,0.0,0.0,1680.0,1921.0
37.755,6.122,30.102,24.490,0.0,1.531,1212416.0,3293184.0,64.0,170.0,8192.0,3293184.0,1310.0,1751.0
7.732,1.031,88.144,3.093,0.0,0.0,73728.0,196608.0,640.0,3322.0,0.0,0.0,1063.0,1541.0
1.538,0.513,97.949,0.0,0.0,0.0,0.0,106496.0,527.0,109.0,0.0,0.0,817.0,1106.0
2.062,0.515,97.423,0.0,0.0,0.0,0.0,0.0,358.0,70.0,0.0,0.0,792.0,1082.0
1.531,0.510,97.959,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,752.0,990.0
2.577,0.0,97.423,0.0,0.0,0.0,0.0,0.0,527.0,109.0,0.0,0.0,812.0,1112.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,709.0,982.0
2.051,1.026,94.872,2.051,0.0,0.0,0.0,397312.0,0.0,0.0,0.0,0.0,844.0,1098.0
1.546,0.0,98.454,0.0,0.0,0.0,0.0,0.0,527.0,109.0,0.0,0.0,796.0,995.0
8.247,1.546,88.144,2.062,0.0,0.0,20480.0,0.0,960.0,1578.0,0.0,0.0,963.0,1342.0
1.538,0.0,98.462,0.0,0.0,0.0,0.0,0.0,1165.0,1370.0,0.0,0.0,734.0,1008.0
8.763,1.546,89.175,0.515,0.0,0.0,180224.0,0.0,2898.0,11067.0,0.0,0.0,879.0,1352.0
6.736,1.036,84.974,7.254,0.0,0.0,274432.0,53248.0,8520.0,1248.0,0.0,0.0,961.0,1249.0
6.186,2.577,88.144,2.577,0.0,0.515,81920.0,0.0,2403.0,27774.0,0.0,0.0,897.0,1219.0
4.615,0.513,93.846,1.026,0.0,0.0,20480.0,0.0,1472.0,4341.0,0.0,0.0,881.0,1070.0
4.124,1.031,94.845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,858.0,1231.0
0.518,0.0,99.482,0.0,0.0,0.0,0.0,0.0,4112.0,40314.0,0.0,0.0,686.0,987.0
2.083,0.0,96.354,1.562,0.0,0.0,0.0,49152.0,527.0,109.0,0.0,0.0,782.0,1121.0
0.515,0.515,98.969,0.0,0.0,0.0,0.0,0.0,358.0,70.0,0.0,0.0,827.0,1064.0
5.641,0.513,93.846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,964.0,1357.0
1.036,0.0,98.964,0.0,0.0,0.0,0.0,0.0,3510.0,13629.0,0.0,0.0,955.0,1126.0
1.554,1.036,97.409,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,888.0,1264.0
2.564,1.026,92.308,4.103,0.0,0.0,49152.0,90112.0,64.0,0.0,0.0,0.0,885.0,1155.0
2.564,0.513,96.410,0.0,0.0,0.513,0.0,0.0,3720.0,599.0,0.0,0.0,892.0,1228.0
0.515,0.515,98.969,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,875.0,1202.0
3.608,0.515,95.876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,893.0,1359.0
1.026,0.513,98.462,0.0,0.0,0.0,0.0,0.0,527.0,109.0,0.0,0.0,605.0,892.0
10.309,1.031,85.052,3.608,0.0,0.0,0.0,434176.0,0.0,0.0,0.0,0.0,896.0,1468.0
0.518,0.0,99.482,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,794.0,1108.0
2.604,0.521,96.875,0.0,0.0,0.0,0.0,0.0,527.0,109.0,0.0,0.0,1003.0,1376.0
1.031,0.515,98.454,0.0,0.0,0.0,0.0,0.0,140.0,70.0,0.0,0.0,938.0,1197.0
2.083,0.521,97.396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,973.0,1337.0
2.591,0.0,96.891,0.0,0.0,0.518,0.0,0.0,527.0,109.0,0.0,0.0,994.0,1274.0
2.062,1.031,95.361,1.546,0.0,0.0,0.0,61440.0,3411.0,426.0,0.0,0.0,990.0,1315.0
0.521,0.521,98.958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,907.0,1166.0
2.604,0.0,97.396,0.0,0.0,0.0,0.0,0.0,527.0,109.0,0.0,0.0,1067.0,1308.0
0.521,0.0,99.479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,923.0,1221.0
2.604,0.521,96.875,0.0,0.0,0.0,0.0,172032.0,0.0,0.0,0.0,0.0,995.0,1345.0
1.042,0.0,98.958,0.0,0.0,0.0,0.0,0.0,527.0,109.0,0.0,0.0,932.0,1223.0
1.562,1.042,95.312,2.083,0.0,0.0,0.0,69632.0,0.0,0.0,0.0,0.0,994.0,1334.0
0.521,0.0,99.479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,867.0,1189.0
1.562,0.521,97.917,0.0,0.0,0.0,0.0,0.0,527.0,109.0,0.0,0.0,888.0,1311.0
