"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","pi02",,,,"User:","daniel"
"Cmdline:","dstat --output str_4W_0SCR_withModelBuilder.log",,,,"Date:","13 Jun 2015 05:06:56 PDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
2.675,0.141,96.765,0.371,0.000,0.048,111871.059,133029.760,0.0,0.0,0.0,0.900,422.908,177.877
0.750,0.0,99.250,0.0,0.0,0.0,0.0,0.0,144.0,909.0,0.0,0.0,505.0,478.0
0.0,0.251,99.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,477.0,436.0
0.251,0.0,99.749,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,499.0,466.0
0.252,0.0,99.748,0.0,0.0,0.0,0.0,0.0,92.0,543.0,0.0,0.0,509.0,474.0
0.251,0.0,99.497,0.251,0.0,0.0,0.0,65536.0,0.0,0.0,0.0,0.0,513.0,465.0
0.251,0.251,99.499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493.0,444.0
0.253,0.0,99.747,0.0,0.0,0.0,0.0,0.0,138.0,543.0,0.0,0.0,519.0,485.0
0.251,0.0,99.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491.0,448.0
15.152,1.768,83.081,0.0,0.0,0.0,0.0,0.0,2136.0,1946.0,0.0,0.0,734.0,739.0
30.203,0.508,69.289,0.0,0.0,0.0,0.0,65536.0,138.0,543.0,0.0,0.0,702.0,619.0
25.377,0.251,74.372,0.0,0.0,0.0,0.0,196608.0,0.0,0.0,0.0,0.0,631.0,593.0
24.873,3.553,71.574,0.0,0.0,0.0,40960.0,0.0,0.0,0.0,0.0,0.0,785.0,827.0
26.633,2.010,71.357,0.0,0.0,0.0,0.0,0.0,168.0,645.0,0.0,0.0,677.0,609.0
26.617,1.493,71.891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,643.0,533.0
27.273,1.515,71.212,0.0,0.0,0.0,57344.0,286720.0,0.0,0.0,0.0,0.0,740.0,620.0
27.708,0.504,71.788,0.0,0.0,0.0,8192.0,0.0,144.0,909.0,0.0,0.0,647.0,536.0
25.313,1.754,71.429,1.253,0.0,0.251,1720320.0,114688.0,142.0,93.0,0.0,0.0,926.0,857.0
32.746,2.771,64.484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,779.0,771.0
31.910,2.010,66.080,0.0,0.0,0.0,0.0,0.0,92.0,543.0,0.0,0.0,680.0,617.0
28.244,2.036,69.720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,848.0,972.0
