"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","dell01",,,,"User:","daniel"
"Cmdline:","dstat --output 4W32B4R-2.log",,,,"Date:","13 Jun 2015 16:09:53 PDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
3.150,0.837,93.700,2.158,0.003,0.152,257486.992,186930.560,0.0,0.0,11368.923,19299.887,565.730,718.302
52.525,8.586,38.384,0.0,0.0,0.505,0.0,32768.0,3451.0,5558.0,0.0,0.0,1379.0,1481.0
59.0,8.0,29.500,1.500,0.0,2.0,0.0,94208.0,1581.0,330.0,0.0,0.0,1153.0,1098.0
71.357,5.528,23.116,0.0,0.0,0.0,0.0,49152.0,687.0,195.0,0.0,0.0,1192.0,1170.0
66.162,7.576,25.253,0.0,0.0,1.010,0.0,0.0,0.0,0.0,0.0,0.0,1195.0,1251.0
71.357,7.035,20.603,0.0,0.0,1.005,0.0,0.0,1581.0,394.0,0.0,0.0,1505.0,1746.0
85.500,6.0,8.0,0.0,0.0,0.500,0.0,0.0,679.0,194.0,0.0,0.0,1395.0,1809.0
66.332,5.528,26.131,1.508,0.0,0.503,0.0,126976.0,7651.0,8443.0,0.0,0.0,1414.0,1907.0
94.0,4.0,0.0,0.0,0.0,2.0,0.0,4096.0,1581.0,330.0,0.0,0.0,1415.0,1530.0
73.232,9.596,17.172,0.0,0.0,0.0,0.0,0.0,527.0,110.0,0.0,0.0,2862.0,1410.0
64.824,8.040,26.131,0.0,0.0,1.005,0.0,0.0,0.0,0.0,0.0,0.0,1477.0,2008.0
16.751,2.030,81.218,0.0,0.0,0.0,0.0,0.0,2652.0,540.0,0.0,0.0,1191.0,1276.0
1.554,0.0,96.891,1.554,0.0,0.0,0.0,196608.0,883.0,180.0,0.0,0.0,826.0,1078.0
1.554,0.518,97.927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,987.0,1135.0
1.036,0.518,98.446,0.0,0.0,0.0,0.0,0.0,1581.0,330.0,0.0,0.0,889.0,1041.0
1.554,0.518,97.927,0.0,0.0,0.0,0.0,0.0,527.0,110.0,0.0,0.0,1054.0,1099.0
3.093,0.515,96.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,965.0,1092.0
2.041,1.020,95.918,0.510,0.0,0.510,0.0,57344.0,1581.0,330.0,0.0,0.0,947.0,1068.0
1.031,1.031,97.938,0.0,0.0,0.0,0.0,155648.0,527.0,110.0,0.0,0.0,1159.0,1083.0
9.231,1.026,89.231,0.0,0.0,0.513,0.0,0.0,0.0,0.0,0.0,0.0,1388.0,1119.0
6.667,1.026,92.308,0.0,0.0,0.0,0.0,0.0,1709.0,330.0,0.0,0.0,1081.0,1164.0
3.571,0.0,96.429,0.0,0.0,0.0,0.0,0.0,527.0,110.0,0.0,0.0,1048.0,1099.0
1.546,0.515,97.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,895.0,1057.0
7.254,0.518,89.637,2.073,0.0,0.518,0.0,335872.0,2613.0,1137.0,0.0,0.0,1311.0,1428.0
11.917,1.036,86.528,0.0,0.0,0.518,0.0,0.0,6416.0,8569.0,0.0,0.0,1701.0,1937.0
3.665,1.047,95.288,0.0,0.0,0.0,0.0,0.0,1579.0,1714.0,0.0,0.0,1209.0,1312.0
14.213,1.015,84.772,0.0,0.0,0.0,0.0,0.0,11362.0,39409.0,0.0,0.0,1344.0,1633.0
11.856,2.062,85.567,0.0,0.0,0.515,0.0,0.0,39906.0,86059.0,0.0,0.0,1462.0,1595.0
13.158,4.211,82.632,0.0,0.0,0.0,0.0,0.0,3748.0,28827.0,0.0,0.0,1457.0,1737.0
