"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","pi01",,,,"User:","daniel"
"Cmdline:","dstat -cdlsm --output 4W32B1R.log",,,,"Date:","14 Jun 2015 03:28:29 PDT"

"total cpu usage",,,,,,"dsk/total",,"load avg",,,"swap",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","1m","5m","15m","used","free","used","buff","cach","free"
8.681,1.527,85.211,3.822,0.000,0.759,477802.911,2422107.075,0.040,0.310,0.570,0.0,104853504.0,202936320.0,5201920.0,46157824.0,717815808.0,
0.0,0.0,99.748,0.252,0.0,0.0,0.0,0.0,0.040,0.310,0.570,0.0,104853504.0,202936320.0,5206016.0,46153728.0,717815808.0,
0.0,0.752,99.248,0.0,0.0,0.0,0.0,65536.0,0.040,0.310,0.570,0.0,104853504.0,202985472.0,5210112.0,46100480.0,717815808.0,
0.501,0.0,99.499,0.0,0.0,0.0,0.0,0.0,0.040,0.310,0.560,0.0,104853504.0,202977280.0,5210112.0,46108672.0,717815808.0,
0.251,0.0,99.749,0.0,0.0,0.0,0.0,0.0,0.040,0.310,0.560,0.0,104853504.0,202977280.0,5210112.0,46108672.0,717815808.0,
0.252,0.0,99.748,0.0,0.0,0.0,0.0,0.0,0.040,0.310,0.560,0.0,104853504.0,202977280.0,5210112.0,46108672.0,717815808.0,
0.501,0.0,99.499,0.0,0.0,0.0,0.0,32768.0,0.040,0.310,0.560,0.0,104853504.0,202977280.0,5210112.0,46108672.0,717815808.0,
0.251,0.0,99.497,0.251,0.0,0.0,0.0,32768.0,0.040,0.310,0.560,0.0,104853504.0,202969088.0,5218304.0,46108672.0,717815808.0,
0.251,0.0,99.749,0.0,0.0,0.0,0.0,0.0,0.030,0.300,0.560,0.0,104853504.0,202969088.0,5218304.0,46108672.0,717815808.0,
3.571,0.765,93.112,2.551,0.0,0.0,2711552.0,0.0,0.030,0.300,0.560,0.0,104853504.0,204812288.0,5775360.0,46768128.0,714756096.0,
17.293,4.261,71.178,7.268,0.0,0.0,8814592.0,0.0,0.030,0.300,0.560,0.0,104853504.0,210845696.0,5791744.0,51257344.0,704217088.0,
29.250,0.0,70.500,0.0,0.0,0.250,0.0,32768.0,0.030,0.300,0.560,0.0,104853504.0,213131264.0,5791744.0,51257344.0,701931520.0,
