"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","dell01",,,,"User:","daniel"
"Cmdline:","dstat --output 4W32B4R.log",,,,"Date:","13 Jun 2015 15:57:42 PDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
3.135,0.832,93.696,2.181,0.003,0.153,260891.760,189200.760,0.0,0.0,11340.917,19491.609,559.315,715.964
12.626,8.586,34.848,43.434,0.0,0.505,1622016.0,32768.0,2608.0,3112.0,196608.0,0.0,1177.0,1697.0
35.323,3.980,1.990,57.711,0.0,0.995,5410816.0,12288.0,527.0,110.0,5201920.0,0.0,1104.0,1692.0
44.898,8.163,17.347,29.592,0.0,0.0,3600384.0,0.0,527.0,110.0,3387392.0,0.0,1063.0,1518.0
73.632,4.478,19.403,1.990,0.0,0.498,0.0,106496.0,1054.0,220.0,0.0,0.0,933.0,1213.0
61.307,7.035,24.623,6.030,0.0,1.005,110592.0,0.0,687.0,195.0,0.0,0.0,1139.0,1279.0
53.266,6.030,34.171,6.030,0.0,0.503,102400.0,0.0,655.0,110.0,0.0,0.0,1284.0,1760.0
77.228,8.911,7.921,4.950,0.0,0.990,520192.0,45056.0,2125.0,430.0,0.0,0.0,1465.0,1968.0
83.0,7.0,8.500,1.0,0.0,0.500,204800.0,716800.0,1035.0,264.0,0.0,716800.0,1277.0,1842.0
60.914,7.614,26.904,4.061,0.0,0.508,81920.0,0.0,7968.0,8553.0,0.0,0.0,1261.0,1806.0
77.0,7.0,11.500,3.0,0.0,1.500,28672.0,131072.0,1054.0,220.0,0.0,0.0,1985.0,1625.0
66.667,7.071,26.263,0.0,0.0,0.0,0.0,0.0,527.0,110.0,0.0,0.0,1688.0,1357.0
65.174,11.940,20.896,1.990,0.0,0.0,40960.0,0.0,527.0,174.0,0.0,0.0,1878.0,2102.0
14.070,3.518,80.402,1.508,0.0,0.503,16384.0,0.0,1054.0,220.0,0.0,0.0,1067.0,1387.0
1.523,1.015,97.462,0.0,0.0,0.0,0.0,0.0,527.0,110.0,0.0,0.0,841.0,1105.0
3.980,1.990,92.040,1.990,0.0,0.0,0.0,208896.0,527.0,110.0,0.0,0.0,899.0,1160.0
1.531,1.531,96.939,0.0,0.0,0.0,0.0,0.0,1054.0,220.0,0.0,0.0,1085.0,1076.0
2.551,2.551,94.898,0.0,0.0,0.0,0.0,450560.0,527.0,110.0,0.0,0.0,1259.0,1109.0
2.513,2.010,95.477,0.0,0.0,0.0,0.0,0.0,527.0,110.0,0.0,0.0,924.0,1237.0
3.535,1.010,95.455,0.0,0.0,0.0,0.0,0.0,1054.0,220.0,0.0,0.0,883.0,1168.0
2.020,1.515,96.465,0.0,0.0,0.0,0.0,0.0,527.0,110.0,0.0,0.0,889.0,1146.0
3.518,2.513,92.462,1.508,0.0,0.0,0.0,61440.0,527.0,110.0,0.0,0.0,924.0,1189.0
5.0,2.0,91.500,1.0,0.0,0.500,20480.0,8192.0,2125.0,430.0,0.0,0.0,1043.0,1431.0
16.500,2.0,81.0,0.0,0.0,0.500,0.0,0.0,3851.0,5384.0,0.0,0.0,1344.0,2050.0
4.0,1.0,95.0,0.0,0.0,0.0,0.0,0.0,6137.0,5876.0,0.0,0.0,898.0,1212.0
15.500,1.500,83.0,0.0,0.0,0.0,0.0,0.0,9696.0,39123.0,0.0,0.0,1070.0,1607.0
14.286,2.463,80.788,2.463,0.0,0.0,57344.0,77824.0,34479.0,4228.0,0.0,0.0,1314.0,1670.0
17.677,6.566,75.758,0.0,0.0,0.0,0.0,0.0,9539.0,110886.0,0.0,0.0,1759.0,1713.0
7.843,3.431,88.235,0.0,0.0,0.490,0.0,0.0,5442.0,16652.0,0.0,0.0,1072.0,1366.0
9.137,0.0,90.863,0.0,0.0,0.0,0.0,0.0,527.0,110.0,0.0,0.0,1180.0,1565.0
3.500,2.0,94.500,0.0,0.0,0.0,0.0,0.0,15303.0,121695.0,0.0,0.0,913.0,1259.0
3.500,2.0,92.500,1.500,0.0,0.500,0.0,61440.0,1054.0,220.0,0.0,0.0,929.0,1210.0
