"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","pi03",,,,"User:","daniel"
"Cmdline:","dstat -cdlsm --output 4W32B1R.log",,,,"Date:","14 Jun 2015 03:28:30 PDT"

"total cpu usage",,,,,,"dsk/total",,"load avg",,,"swap",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","1m","5m","15m","used","free","used","buff","cach","free"
7.652,1.546,83.314,6.735,0.000,0.752,417171.990,2488118.815,0.040,0.400,0.710,0.0,104853504.0,199745536.0,7823360.0,46559232.0,717983744.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,57344.0,0.040,0.400,0.710,0.0,104853504.0,199839744.0,7823360.0,46551040.0,717897728.0,
0.500,0.0,99.250,0.250,0.0,0.0,0.0,73728.0,0.040,0.400,0.710,0.0,104853504.0,199729152.0,7831552.0,46592000.0,717959168.0,
0.251,0.0,99.749,0.0,0.0,0.0,0.0,0.0,0.030,0.390,0.710,0.0,104853504.0,199729152.0,7831552.0,46592000.0,717959168.0,
0.252,0.0,99.748,0.0,0.0,0.0,0.0,0.0,0.030,0.390,0.710,0.0,104853504.0,199729152.0,7831552.0,46592000.0,717959168.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.030,0.390,0.710,0.0,104853504.0,199729152.0,7831552.0,46592000.0,717959168.0,
0.501,0.0,99.499,0.0,0.0,0.0,0.0,40960.0,0.030,0.390,0.710,0.0,104853504.0,199729152.0,7831552.0,46592000.0,717959168.0,
0.503,0.251,99.246,0.0,0.0,0.0,0.0,24576.0,0.030,0.390,0.710,0.0,104853504.0,199720960.0,7839744.0,46592000.0,717959168.0,
1.010,0.253,97.980,0.758,0.0,0.0,614400.0,0.0,0.030,0.390,0.710,0.0,104853504.0,200077312.0,8151040.0,46583808.0,717299712.0,
15.711,5.736,70.574,7.980,0.0,0.0,10993664.0,0.0,0.030,0.390,0.710,0.0,104853504.0,206696448.0,8458240.0,51732480.0,705224704.0,
30.227,0.0,69.773,0.0,0.0,0.0,0.0,0.0,0.030,0.390,0.710,0.0,104853504.0,210219008.0,8458240.0,51765248.0,701669376.0,
24.623,0.503,74.874,0.0,0.0,0.0,0.0,8192.0,0.030,0.390,0.710,0.0,104853504.0,210276352.0,8458240.0,51843072.0,701534208.0,
25.063,3.258,70.175,1.504,0.0,0.0,1662976.0,196608.0,0.030,0.390,0.710,0.0,104853504.0,209129472.0,8474624.0,52543488.0,701964288.0,
23.232,1.768,71.970,2.778,0.0,0.253,3940352.0,0.0,0.110,0.400,0.710,0.0,104853504.0,215568384.0,8474624.0,54484992.0,693583872.0,
23.618,2.261,71.859,2.261,0.0,0.0,3211264.0,0.0,0.110,0.400,0.710,0.0,104853504.0,222482432.0,8474624.0,56205312.0,684949504.0,
23.350,1.269,72.335,3.046,0.0,0.0,3194880.0,0.0,0.110,0.400,0.710,0.0,104853504.0,228999168.0,8474624.0,57815040.0,676823040.0,
23.291,2.025,71.646,3.038,0.0,0.0,3350528.0,278528.0,0.110,0.400,0.710,0.0,104853504.0,236306432.0,8478720.0,59518976.0,667807744.0,
26.142,2.284,69.036,2.538,0.0,0.0,2170880.0,114688.0,0.110,0.400,0.710,0.0,104853504.0,242601984.0,8486912.0,60452864.0,660570112.0,
24.304,3.038,69.367,3.291,0.0,0.0,3989504.0,0.0,0.180,0.410,0.710,0.0,104853504.0,248500224.0,8491008.0,62566400.0,652554240.0,
25.888,2.284,69.543,2.284,0.0,0.0,3293184.0,0.0,0.180,0.410,0.710,0.0,104853504.0,255369216.0,8491008.0,64196608.0,644055040.0,
32.995,1.269,63.706,2.030,0.0,0.0,2408448.0,0.0,0.180,0.410,0.710,0.0,104853504.0,262144000.0,8491008.0,65429504.0,636047360.0,
26.196,2.015,70.277,1.511,0.0,0.0,2080768.0,0.0,0.180,0.410,0.710,0.0,104853504.0,271011840.0,8491008.0,66355200.0,626253824.0,
28.278,2.828,65.553,3.342,0.0,0.0,3522560.0,40960.0,0.180,0.410,0.710,0.0,104853504.0,280252416.0,8499200.0,68227072.0,615133184.0,
26.087,3.836,68.798,1.023,0.0,0.256,1916928.0,0.0,0.490,0.470,0.730,0.0,104853504.0,299401216.0,8499200.0,69140480.0,595070976.0,
29.412,3.325,65.985,1.279,0.0,0.0,1900544.0,0.0,0.490,0.470,0.730,0.0,104853504.0,302223360.0,8499200.0,70135808.0,591253504.0,
38.636,2.525,56.313,2.525,0.0,0.0,2850816.0,0.0,0.490,0.470,0.730,0.0,104853504.0,304402432.0,8507392.0,71618560.0,587583488.0,
24.041,3.836,70.077,1.535,0.0,0.512,2686976.0,0.0,0.490,0.470,0.730,0.0,104853504.0,308707328.0,8507392.0,72859648.0,582037504.0,
22.449,2.806,72.704,2.041,0.0,0.0,3260416.0,98304.0,0.490,0.470,0.730,0.0,104853504.0,310222848.0,8515584.0,74424320.0,578949120.0,
31.959,3.866,60.309,3.608,0.0,0.258,3325952.0,57344.0,0.530,0.470,0.730,0.0,104853504.0,318492672.0,8560640.0,76218368.0,568840192.0,
19.036,1.523,77.665,1.777,0.0,0.0,2899968.0,0.0,0.530,0.470,0.730,0.0,104853504.0,351080448.0,8560640.0,77545472.0,534925312.0,
25.635,1.523,70.558,2.284,0.0,0.0,3563520.0,0.0,0.530,0.470,0.730,0.0,104853504.0,358641664.0,8568832.0,79499264.0,525402112.0,
35.878,3.562,59.288,1.272,0.0,0.0,1720320.0,0.0,0.530,0.470,0.730,0.0,104853504.0,387579904.0,8572928.0,80244736.0,495714304.0,
36.434,1.034,60.465,1.809,0.0,0.258,2752512.0,180224.0,0.530,0.470,0.730,0.0,104853504.0,404807680.0,8581120.0,81682432.0,477040640.0,
31.282,3.590,62.308,2.821,0.0,0.0,5169152.0,0.0,0.570,0.480,0.730,0.0,104853504.0,406343680.0,8581120.0,84209664.0,472977408.0,
23.096,1.777,73.858,1.269,0.0,0.0,2695168.0,0.0,0.570,0.480,0.730,0.0,104853504.0,407937024.0,8581120.0,85663744.0,469929984.0,
28.462,1.282,69.487,0.769,0.0,0.0,1900544.0,0.0,0.570,0.480,0.730,0.0,104853504.0,410173440.0,8581120.0,86577152.0,466780160.0,
34.577,1.741,53.483,10.199,0.0,0.0,6225920.0,0.0,0.570,0.480,0.730,0.0,104853504.0,411701248.0,8802304.0,90648576.0,460959744.0,
55.164,4.282,7.053,33.249,0.0,0.252,31154176.0,40960.0,0.570,0.480,0.730,0.0,104853504.0,432738304.0,8810496.0,106037248.0,424525824.0,
81.170,4.326,1.527,12.977,0.0,0.0,21233664.0,0.0,0.840,0.540,0.750,0.0,104853504.0,462266368.0,8810496.0,115585024.0,385449984.0,
91.919,1.263,6.566,0.0,0.0,0.253,4997120.0,0.0,0.840,0.540,0.750,0.0,104853504.0,467800064.0,8810496.0,118194176.0,377307136.0,
98.0,0.500,1.500,0.0,0.0,0.0,4718592.0,0.0,0.840,0.540,0.750,0.0,104853504.0,467673088.0,8810496.0,120479744.0,375148544.0,
93.985,0.501,5.263,0.0,0.0,0.251,4980736.0,0.0,0.840,0.540,0.750,0.0,104853504.0,471023616.0,8810496.0,122859520.0,369418240.0,
96.0,1.0,3.0,0.0,0.0,0.0,4980736.0,0.0,0.840,0.540,0.750,0.0,104853504.0,473890816.0,8810496.0,125501440.0,363909120.0,
93.750,1.750,4.0,0.0,0.0,0.500,5767168.0,24576.0,1.090,0.600,0.770,0.0,104853504.0,475336704.0,8818688.0,128405504.0,359550976.0,
94.250,1.750,3.750,0.0,0.0,0.250,5242880.0,0.0,1.090,0.600,0.770,0.0,104853504.0,477106176.0,8818688.0,131026944.0,355160064.0,
92.424,0.253,7.071,0.0,0.0,0.253,4718592.0,0.0,1.090,0.600,0.770,0.0,104853504.0,480518144.0,8818688.0,133304320.0,349470720.0,
94.763,1.496,3.242,0.0,0.0,0.499,6815744.0,106496.0,1.090,0.600,0.770,0.0,104853504.0,481947648.0,8818688.0,136531968.0,344813568.0,
95.771,0.746,3.483,0.0,0.0,0.0,4718592.0,0.0,1.090,0.600,0.770,0.0,104853504.0,483577856.0,8818688.0,139091968.0,340623360.0,
94.750,1.250,3.750,0.0,0.0,0.250,5505024.0,0.0,1.330,0.660,0.780,0.0,104853504.0,485130240.0,8818688.0,141926400.0,336236544.0,
92.231,1.754,5.764,0.251,0.0,0.0,6553600.0,49152.0,1.330,0.660,0.780,0.0,104853504.0,488525824.0,8826880.0,144961536.0,329797632.0,
94.250,1.250,4.0,0.500,0.0,0.0,4800512.0,0.0,1.330,0.660,0.780,0.0,104853504.0,490745856.0,8826880.0,147480576.0,325058560.0,
94.750,1.250,3.0,0.750,0.0,0.250,5586944.0,229376.0,1.330,0.660,0.780,0.0,104853504.0,493719552.0,8826880.0,150355968.0,319209472.0,
