"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","pi00",,,,"User:","daniel"
"Cmdline:","dstat --output 2W64B2R.log",,,,"Date:","12 Jun 2015 14:15:52 PDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
4.342,0.267,94.978,0.333,0.000,0.080,185420.610,212128.799,0.0,0.0,0.0,5.301,497.345,265.187
0.251,0.0,99.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496.0,460.0
0.0,0.251,99.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482.0,465.0
0.0,0.253,99.747,0.0,0.0,0.0,0.0,0.0,91.0,543.0,0.0,0.0,493.0,453.0
0.0,0.251,99.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481.0,429.0
0.0,0.252,99.748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,507.0,443.0
0.251,0.251,99.497,0.0,0.0,0.0,0.0,65536.0,91.0,543.0,0.0,0.0,528.0,491.0
5.051,0.505,93.939,0.505,0.0,0.0,622592.0,0.0,2005.0,156.0,0.0,0.0,650.0,544.0
29.592,3.316,66.327,0.510,0.0,0.255,425984.0,0.0,52.0,1688.0,0.0,0.0,1006.0,1063.0
27.889,0.503,71.608,0.0,0.0,0.0,0.0,0.0,91.0,543.0,0.0,0.0,665.0,535.0
24.685,1.511,73.804,0.0,0.0,0.0,0.0,0.0,52.0,365.0,0.0,0.0,724.0,706.0
29.975,2.267,67.506,0.252,0.0,0.0,311296.0,196608.0,0.0,0.0,0.0,0.0,903.0,816.0
25.945,2.267,71.537,0.0,0.0,0.252,0.0,0.0,91.0,543.0,0.0,0.0,668.0,611.0
25.250,2.750,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,655.0,545.0
27.820,1.754,70.426,0.0,0.0,0.0,32768.0,0.0,0.0,0.0,0.0,0.0,674.0,545.0
29.574,2.005,68.421,0.0,0.0,0.0,0.0,65536.0,91.0,543.0,0.0,0.0,691.0,584.0
30.633,1.266,67.848,0.253,0.0,0.0,0.0,106496.0,234.0,93.0,0.0,0.0,731.0,667.0
30.730,1.259,67.758,0.252,0.0,0.0,73728.0,0.0,0.0,0.0,0.0,0.0,755.0,714.0
33.503,2.284,64.213,0.0,0.0,0.0,24576.0,0.0,91.0,543.0,0.0,0.0,751.0,692.0
32.824,1.781,65.394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,991.0,1260.0
27.569,2.005,70.426,0.0,0.0,0.0,0.0,360448.0,0.0,0.0,0.0,0.0,945.0,1051.0
34.177,3.291,62.532,0.0,0.0,0.0,0.0,65536.0,352.0,969.0,0.0,0.0,1082.0,1392.0
41.878,2.030,55.584,0.508,0.0,0.0,417792.0,0.0,2312.0,1885.0,0.0,0.0,1574.0,2487.0
25.0,2.020,72.727,0.253,0.0,0.0,360448.0,0.0,0.0,0.0,0.0,0.0,826.0,852.0
29.427,2.344,67.969,0.260,0.0,0.0,294912.0,0.0,9591.0,2826.0,0.0,0.0,1108.0,1288.0
30.446,3.675,64.567,0.787,0.0,0.525,925696.0,57344.0,27829.0,10830.0,0.0,0.0,1606.0,2219.0
18.750,5.250,74.750,1.250,0.0,0.0,1531904.0,155648.0,540.0,867.0,0.0,0.0,1086.0,1245.0
25.127,2.538,71.574,0.761,0.0,0.0,966656.0,0.0,3908.0,1470.0,0.0,0.0,1151.0,1103.0
41.071,4.337,53.571,1.020,0.0,0.0,1228800.0,0.0,40399.0,42907.0,0.0,0.0,2054.0,2778.0
32.653,3.316,63.520,0.510,0.0,0.0,753664.0,0.0,0.0,0.0,0.0,0.0,1136.0,1249.0
36.061,2.046,60.870,1.023,0.0,0.0,1318912.0,0.0,91.0,543.0,0.0,0.0,1514.0,1819.0
24.685,1.511,73.048,0.756,0.0,0.0,303104.0,122880.0,0.0,0.0,0.0,0.0,909.0,998.0
27.041,3.316,69.133,0.510,0.0,0.0,999424.0,0.0,38808.0,3415.0,0.0,0.0,1426.0,1891.0
31.620,3.342,47.044,17.995,0.0,0.0,9109504.0,0.0,579.0,1575.0,0.0,0.0,2313.0,3024.0
58.629,4.569,9.137,27.411,0.0,0.254,22437888.0,0.0,0.0,0.0,0.0,0.0,2324.0,2066.0
79.849,5.290,3.275,11.083,0.0,0.504,22175744.0,0.0,52.0,156.0,0.0,0.0,2495.0,3375.0
91.624,1.015,7.107,0.0,0.0,0.254,3293184.0,32768.0,504.0,3621.0,0.0,0.0,1314.0,1277.0
96.287,1.980,1.733,0.0,0.0,0.0,4423680.0,0.0,0.0,0.0,0.0,0.0,1303.0,1189.0
96.725,1.008,2.267,0.0,0.0,0.0,4677632.0,0.0,0.0,0.0,0.0,0.0,1294.0,1151.0
93.548,1.489,4.963,0.0,0.0,0.0,4177920.0,0.0,91.0,543.0,0.0,0.0,1265.0,1109.0
95.489,1.003,3.509,0.0,0.0,0.0,6144000.0,0.0,52.0,365.0,0.0,0.0,1387.0,1229.0
94.321,1.728,3.457,0.247,0.0,0.247,4251648.0,0.0,0.0,0.0,0.0,0.0,1266.0,1124.0
94.724,1.256,3.769,0.0,0.0,0.251,4669440.0,24576.0,91.0,543.0,0.0,0.0,1290.0,1171.0
94.737,1.504,3.509,0.0,0.0,0.251,5652480.0,0.0,52.0,156.0,0.0,0.0,1307.0,1137.0
95.707,0.0,3.535,0.0,0.0,0.758,3932160.0,0.0,0.0,0.0,0.0,0.0,1217.0,1059.0
93.052,0.744,6.203,0.0,0.0,0.0,4423680.0,0.0,91.0,543.0,0.0,0.0,1249.0,1119.0
93.766,0.748,5.237,0.0,0.0,0.249,4923392.0,0.0,321.0,3078.0,0.0,0.0,1285.0,1103.0
