"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","dell01",,,,"User:","daniel"
"Cmdline:","dstat --output build_once.log",,,,"Date:","13 Jun 2015 02:28:36 PDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
5.691,1.273,85.094,7.786,0.004,0.151,476698.959,555612.473,0.0,0.0,4747.953,18267.546,485.632,673.437
53.266,7.035,39.698,0.0,0.0,0.0,0.0,32768.0,3697.0,5664.0,0.0,0.0,964.0,1185.0
58.291,6.030,33.166,2.513,0.0,0.0,110592.0,0.0,0.0,0.0,0.0,0.0,887.0,977.0
77.0,5.500,16.500,0.0,0.0,1.0,0.0,0.0,544.0,797.0,0.0,0.0,957.0,1112.0


"Host:","dell01",,,,"User:","daniel"
"Cmdline:","dstat --output build_once.log",,,,"Date:","13 Jun 2015 02:35:46 PDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
6.908,1.446,84.280,7.028,0.005,0.334,895698.829,493652.531,0.0,0.0,4612.700,23813.968,617.792,772.706
13.568,6.533,48.241,31.658,0.0,0.0,2887680.0,32768.0,0.0,0.0,0.0,0.0,1103.0,1544.0
28.934,2.538,41.117,26.904,0.0,0.508,2404352.0,0.0,0.0,0.0,0.0,0.0,1031.0,1246.0
23.858,2.030,48.223,25.381,0.0,0.508,1777664.0,0.0,527.0,110.0,0.0,0.0,872.0,1125.0
17.677,3.030,40.404,38.889,0.0,0.0,1843200.0,73728.0,64.0,64.0,0.0,0.0,863.0,1119.0
14.646,2.020,46.970,36.364,0.0,0.0,1310720.0,0.0,128.0,462.0,0.0,0.0,900.0,1257.0
37.879,4.040,34.848,22.727,0.0,0.505,1335296.0,0.0,527.0,110.0,0.0,0.0,981.0,1168.0
48.718,2.564,27.692,20.513,0.0,0.513,995328.0,0.0,224.0,335.0,0.0,0.0,994.0,1231.0
38.342,4.663,37.824,19.171,0.0,0.0,3928064.0,0.0,192.0,940.0,0.0,0.0,1008.0,1172.0
42.211,6.030,37.186,14.070,0.0,0.503,1949696.0,36864.0,655.0,418.0,0.0,0.0,1336.0,1703.0
46.970,6.566,22.727,23.232,0.0,0.505,1069056.0,1957888.0,320.0,1302.0,0.0,2605056.0,1220.0,1599.0
62.371,6.701,19.588,10.825,0.0,0.515,1044480.0,688128.0,384.0,1222.0,0.0,0.0,1399.0,2027.0
78.788,5.556,13.131,2.525,0.0,0.0,237568.0,0.0,935.0,1592.0,0.0,0.0,1165.0,1820.0
71.357,4.523,24.121,0.0,0.0,0.0,106496.0,0.0,2297.0,4089.0,0.0,0.0,1109.0,1463.0
37.879,8.081,34.343,19.192,0.0,0.505,1433600.0,2793472.0,677.0,1568.0,0.0,2580480.0,1558.0,1436.0
18.653,2.591,32.642,46.114,0.0,0.0,2170880.0,131072.0,719.0,1152.0,0.0,0.0,1177.0,1575.0
49.495,3.535,34.343,12.121,0.0,0.505,3629056.0,0.0,0.0,0.0,0.0,0.0,1277.0,1535.0
20.918,7.143,64.796,6.633,0.0,0.510,397312.0,32768.0,192.0,7120.0,20480.0,0.0,1276.0,2321.0
