"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","pi02",,,,"User:","daniel"
"Cmdline:","dstat -cdlsm --output 4W32B4R.log",,,,"Date:","14 Jun 2015 02:40:04 PDT"

"total cpu usage",,,,,,"dsk/total",,"load avg",,,"swap",,"memory usage",,,
"usr","sys","idl","wai","hiq","siq","read","writ","1m","5m","15m","used","free","used","buff","cach","free"
2.052,0.156,97.335,0.407,0.000,0.050,106188.716,141260.430,0.060,0.040,0.050,20480.0,104833024.0,103940096.0,16019456.0,162258944.0,689893376.0,
0.0,0.251,99.749,0.0,0.0,0.0,0.0,0.0,0.060,0.040,0.050,20480.0,104833024.0,103882752.0,16019456.0,162324480.0,689885184.0,
0.249,0.0,99.501,0.249,0.0,0.0,0.0,73728.0,0.060,0.040,0.050,20480.0,104833024.0,103874560.0,16027648.0,162324480.0,689885184.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.060,0.040,0.050,20480.0,104833024.0,103874560.0,16027648.0,162324480.0,689885184.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.060,0.040,0.050,20480.0,104833024.0,103874560.0,16027648.0,162324480.0,689885184.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.060,0.040,0.050,20480.0,104833024.0,103874560.0,16027648.0,162324480.0,689885184.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.060,0.040,0.050,20480.0,104833024.0,103882752.0,16027648.0,162324480.0,689876992.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,24576.0,0.050,0.040,0.050,20480.0,104833024.0,103874560.0,16035840.0,162324480.0,689876992.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.050,0.040,0.050,20480.0,104833024.0,103874560.0,16035840.0,162324480.0,689876992.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.050,0.040,0.050,20480.0,104833024.0,103874560.0,16035840.0,162324480.0,689876992.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.050,0.040,0.050,20480.0,104833024.0,103874560.0,16035840.0,162324480.0,689876992.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.050,0.040,0.050,20480.0,104833024.0,103874560.0,16035840.0,162324480.0,689876992.0,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,24576.0,0.050,0.040,0.050,20480.0,104833024.0,103886848.0,16044032.0,162312192.0,689868800.0,
